root@large-insatnce:~/cs553-spring2024-hw5-mdinesh6# ./vault -t 16 -o 16 -i 4 -m 16 -s 64 -f data-64GB.bin
NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=193126051840
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 25204809728 bytes
Free Memory: 4265463808 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[96][HASHGEN]: 32.49% completed, ETA 200.1 seconds, 128/512 flushes, 290.1 MB/sec
[97][HASHGEN]: 32.93% completed, ETA 198.1 seconds, 128/512 flushes, 290.2 MB/sec
[98][HASHGEN]: 33.38% completed, ETA 196.2 seconds, 128/512 flushes, 290.0 MB/sec
[99][HASHGEN]: 33.82% completed, ETA 194.4 seconds, 128/512 flushes, 286.9 MB/sec
[100][HASHGEN]: 34.25% completed, ETA 192.5 seconds, 128/512 flushes, 284.6 MB/sec
[101][HASHGEN]: 34.69% completed, ETA 190.7 seconds, 128/512 flushes, 286.1 MB/sec
[102][HASHGEN]: 35.12% completed, ETA 189.0 seconds, 128/512 flushes, 284.7 MB/sec
[103][HASHGEN]: 35.56% completed, ETA 187.2 seconds, 128/512 flushes, 286.2 MB/sec
[104][HASHGEN]: 35.99% completed, ETA 185.5 seconds, 128/512 flushes, 284.7 MB/sec
[105][HASHGEN]: 36.43% completed, ETA 183.7 seconds, 128/512 flushes, 286.8 MB/sec
[106][HASHGEN]: 36.96% completed, ETA 181.3 seconds, 128/512 flushes, 343.1 MB/sec
[107][HASHGEN]: 37.45% completed, ETA 179.2 seconds, 128/512 flushes, 323.9 MB/sec
[108][HASHGEN]: 37.92% completed, ETA 177.3 seconds, 128/512 flushes, 309.3 MB/sec
[109][HASHGEN]: 38.40% completed, ETA 175.4 seconds, 128/512 flushes, 310.7 MB/sec
[110][HASHGEN]: 38.87% completed, ETA 173.5 seconds, 128/512 flushes, 310.4 MB/sec
[111][HASHGEN]: 39.33% completed, ETA 171.7 seconds, 128/512 flushes, 299.6 MB/sec
[112][HASHGEN]: 39.79% completed, ETA 170.0 seconds, 128/512 flushes, 298.3 MB/sec
[113][HASHGEN]: 40.23% completed, ETA 168.3 seconds, 128/512 flushes, 293.6 MB/sec
[114][HASHGEN]: 40.69% completed, ETA 166.6 seconds, 128/512 flushes, 297.2 MB/sec
[115][HASHGEN]: 41.14% completed, ETA 165.0 seconds, 128/512 flushes, 296.0 MB/sec
[116][HASHGEN]: 41.59% completed, ETA 163.4 seconds, 128/512 flushes, 294.1 MB/sec
[117][HASHGEN]: 42.03% completed, ETA 161.8 seconds, 128/512 flushes, 286.4 MB/sec
[118][HASHGEN]: 42.48% completed, ETA 160.2 seconds, 128/512 flushes, 299.2 MB/sec
[119][HASHGEN]: 42.95% completed, ETA 158.5 seconds, 128/512 flushes, 303.4 MB/sec
[120][HASHGEN]: 43.42% completed, ETA 156.8 seconds, 128/512 flushes, 308.0 MB/sec
[121][HASHGEN]: 43.88% completed, ETA 155.2 seconds, 128/512 flushes, 300.3 MB/sec
[122][HASHGEN]: 44.34% completed, ETA 153.5 seconds, 128/512 flushes, 304.5 MB/sec
[123][HASHGEN]: 44.80% completed, ETA 151.9 seconds, 128/512 flushes, 302.0 MB/sec
[124][HASHGEN]: 45.27% completed, ETA 150.3 seconds, 128/512 flushes, 304.7 MB/sec
[125][HASHGEN]: 45.73% completed, ETA 148.7 seconds, 128/512 flushes, 305.9 MB/sec
[126][HASHGEN]: 46.21% completed, ETA 147.1 seconds, 128/512 flushes, 311.5 MB/sec
[127][HASHGEN]: 46.68% completed, ETA 145.4 seconds, 128/512 flushes, 308.9 MB/sec
[128][HASHGEN]: 47.15% completed, ETA 143.8 seconds, 128/512 flushes, 310.5 MB/sec
[129][HASHGEN]: 47.63% completed, ETA 142.2 seconds, 128/512 flushes, 309.0 MB/sec
[130][HASHGEN]: 48.11% completed, ETA 140.6 seconds, 128/512 flushes, 317.2 MB/sec
[131][HASHGEN]: 48.58% completed, ETA 139.0 seconds, 128/512 flushes, 309.1 MB/sec
[132][HASHGEN]: 49.05% completed, ETA 137.5 seconds, 128/512 flushes, 304.9 MB/sec
[133][HASHGEN]: 49.51% completed, ETA 136.0 seconds, 128/512 flushes, 304.1 MB/sec
[134][HASHGEN]: 49.98% completed, ETA 134.7 seconds, 130/512 flushes, 250.7 MB/sec
[135][HASHGEN]: 49.98% completed, ETA 135.7 seconds, 138/512 flushes, 4.5 MB/sec
[136][HASHGEN]: 49.99% completed, ETA 136.9 seconds, 146/512 flushes, 1.7 MB/sec
[138][HASHGEN]: 49.99% completed, ETA 138.1 seconds, 156/512 flushes, 1.2 MB/sec
[139][HASHGEN]: 49.99% completed, ETA 139.5 seconds, 166/512 flushes, 0.7 MB/sec
[140][HASHGEN]: 49.99% completed, ETA 140.9 seconds, 173/512 flushes, 1.4 MB/sec
[142][HASHGEN]: 50.00% completed, ETA 142.1 seconds, 183/512 flushes, 1.2 MB/sec
[143][HASHGEN]: 50.00% completed, ETA 143.3 seconds, 193/512 flushes, 1.7 MB/sec
[144][HASHGEN]: 50.00% completed, ETA 144.4 seconds, 202/512 flushes, 1.3 MB/sec
[147][HASHGEN]: 50.00% completed, ETA 147.0 seconds, 216/512 flushes, 0.8 MB/sec
[152][HASHGEN]: 50.01% completed, ETA 152.9 seconds, 220/512 flushes, 0.1 MB/sec
[154][HASHGEN]: 50.01% completed, ETA 154.1 seconds, 222/512 flushes, 0.4 MB/sec
[155][HASHGEN]: 50.01% completed, ETA 155.4 seconds, 230/512 flushes, 1.5 MB/sec
[156][HASHGEN]: 50.01% completed, ETA 156.7 seconds, 239/512 flushes, 1.1 MB/sec
[158][HASHGEN]: 50.02% completed, ETA 158.2 seconds, 247/512 flushes, 1.7 MB/sec
[159][HASHGEN]: 50.02% completed, ETA 159.1 seconds, 249/512 flushes, 2.5 MB/sec
[164][HASHGEN]: 50.02% completed, ETA 164.5 seconds, 250/512 flushes, 0.2 MB/sec
[166][HASHGEN]: 50.02% completed, ETA 165.9 seconds, 251/512 flushes, 0.7 MB/sec
[167][HASHGEN]: 50.02% completed, ETA 167.0 seconds, 253/512 flushes, 1.0 MB/sec
[168][HASHGEN]: 50.13% completed, ETA 167.3 seconds, 256/512 flushes, 67.4 MB/sec
[169][HASHGEN]: 50.64% completed, ETA 164.8 seconds, 256/512 flushes, 336.1 MB/sec
[170][HASHGEN]: 51.19% completed, ETA 162.2 seconds, 256/512 flushes, 357.1 MB/sec
[171][HASHGEN]: 51.69% completed, ETA 159.9 seconds, 256/512 flushes, 329.6 MB/sec
[172][HASHGEN]: 52.17% completed, ETA 157.8 seconds, 256/512 flushes, 312.6 MB/sec
